unique_key,collected_at_utc,ticker,company_name,cik,form,filing_date,report_date,accession_number,filing_url,transaction_table,transaction_date,transaction_code,security_title,shares,price,total_amount,shares_owned_after,ownership_type,reporting_owner,relationship,is_director,is_officer,is_ten_percent_owner,officer_title,source
WDC|0001266824-26-000191|nonDerivative|2026-08-31|STREETER STEPHANIE A|S|Common Stock|2000|448.58|I,2026-09-05 04:17:35+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-09-02,2026-08-31,0001266824-26-000191,https://www.sec.gov/Archives/edgar/data/106040/000126682426000191/edgardoc.xml,nonDerivative,2026-08-31,S,Common Stock,2000,448.58,897160.0,36407,I,STREETER STEPHANIE A,Director,1,0,0,,SEC EDGAR
WDC|0001266824-26-000191|nonDerivative|2026-09-01|STREETER STEPHANIE A|S|Common Stock|1600|455.0|I,2026-09-05 04:17:35+0000,WDC,WESTERN DIGITAL CORP,0000106040,4,2026-09-02,2026-08-31,0001266824-26-000191,https://www.sec.gov/Archives/edgar/data/106040/000126682426000191/edgardoc.xml,nonDerivative,2026-09-01,S,Common Stock,1600,455.0,728000.0,34807,I,STREETER STEPHANIE A,Director,1,0,0,,SEC EDGAR
VZ|0001760581-26-000050|nonDerivative|2026-09-01|Malady Kyle|S|Common Stock|1100|50.50|D,2026-09-05 04:17:35+0000,VZ,VERIZON COMMUNICATIONS INC,0000732712,4,2026-09-02,2026-09-01,0001760581-26-000050,https://www.sec.gov/Archives/edgar/data/732712/000176058126000050/wk-form4_1788367815.xml,nonDerivative,2026-09-01,S,Common Stock,1100,50.50,55550.0,107666,D,Malady Kyle,"Officer, EVP and Group CEO-VZ Business",0,1,0,EVP and Group CEO-VZ Business,SEC EDGAR
VST|0001268406-26-000009|nonDerivative|2026-08-31|BURKE JAMES A|P|Common Stock|2200|135.99|I,2026-09-05 04:17:35+0000,VST,Vistra Corp.,0001692819,4,2026-09-02,2026-08-31,0001268406-26-000009,https://www.sec.gov/Archives/edgar/data/1692819/000126840626000009/wk-form4_1788356308.xml,nonDerivative,2026-08-31,P,Common Stock,2200,135.99,299178.0,1141887,I,BURKE JAMES A,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
VST|0001268406-26-000009|nonDerivative|2026-09-01|BURKE JAMES A|P|Common Stock|4465|135.25|I,2026-09-05 04:17:35+0000,VST,Vistra Corp.,0001692819,4,2026-09-02,2026-08-31,0001268406-26-000009,https://www.sec.gov/Archives/edgar/data/1692819/000126840626000009/wk-form4_1788356308.xml,nonDerivative,2026-09-01,P,Common Stock,4465,135.25,603891.25,1146352,I,BURKE JAMES A,"Director, Officer, President and CEO",1,1,0,President and CEO,SEC EDGAR
VRSN|0001624651-26-000047|nonDerivative|2026-09-01|Indelicarto Thomas C|S|Common Stock|500|290.78|D,2026-09-05 04:17:35+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-02,2026-09-01,0001624651-26-000047,https://www.sec.gov/Archives/edgar/data/1014473/000162465126000047/wk-form4_1788385133.xml,nonDerivative,2026-09-01,S,Common Stock,500,290.78,145390.0,33394.5328,D,Indelicarto Thomas C,"Officer, EVP, Gen Counsel & Secretary",0,1,0,"EVP, Gen Counsel & Secretary",SEC EDGAR
VRSN|0001204816-26-000040|nonDerivative|2026-09-01|BIDZOS D JAMES|S|Common Stock|200|288.3033|D,2026-09-05 04:17:35+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-02,2026-09-01,0001204816-26-000040,https://www.sec.gov/Archives/edgar/data/1014473/000120481626000040/wk-form4_1788385370.xml,nonDerivative,2026-09-01,S,Common Stock,200,288.3033,57660.659999999996,398027.4109,D,BIDZOS D JAMES,"Director, Officer, Exec. Chairman, Pres, & CEO",1,1,0,"Exec. Chairman, Pres, & CEO",SEC EDGAR
VRSN|0001204816-26-000040|nonDerivative|2026-09-01|BIDZOS D JAMES|S|Common Stock|400|289.39|D,2026-09-05 04:17:35+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-02,2026-09-01,0001204816-26-000040,https://www.sec.gov/Archives/edgar/data/1014473/000120481626000040/wk-form4_1788385370.xml,nonDerivative,2026-09-01,S,Common Stock,400,289.39,115756.0,397627.4109,D,BIDZOS D JAMES,"Director, Officer, Exec. Chairman, Pres, & CEO",1,1,0,"Exec. Chairman, Pres, & CEO",SEC EDGAR
VRSN|0001204816-26-000040|nonDerivative|2026-09-01|BIDZOS D JAMES|S|Common Stock|1900|290.895|D,2026-09-05 04:17:35+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-02,2026-09-01,0001204816-26-000040,https://www.sec.gov/Archives/edgar/data/1014473/000120481626000040/wk-form4_1788385370.xml,nonDerivative,2026-09-01,S,Common Stock,1900,290.895,552700.5,395727.4109,D,BIDZOS D JAMES,"Director, Officer, Exec. Chairman, Pres, & CEO",1,1,0,"Exec. Chairman, Pres, & CEO",SEC EDGAR
VRSN|0001204816-26-000040|nonDerivative|2026-09-01|BIDZOS D JAMES|S|Common Stock|300|291.6033|D,2026-09-05 04:17:35+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-02,2026-09-01,0001204816-26-000040,https://www.sec.gov/Archives/edgar/data/1014473/000120481626000040/wk-form4_1788385370.xml,nonDerivative,2026-09-01,S,Common Stock,300,291.6033,87480.98999999999,395427.4109,D,BIDZOS D JAMES,"Director, Officer, Exec. Chairman, Pres, & CEO",1,1,0,"Exec. Chairman, Pres, & CEO",SEC EDGAR
VRSN|0001204816-26-000040|nonDerivative|2026-09-01|BIDZOS D JAMES|S|Common Stock|400|293.5075|D,2026-09-05 04:17:35+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-02,2026-09-01,0001204816-26-000040,https://www.sec.gov/Archives/edgar/data/1014473/000120481626000040/wk-form4_1788385370.xml,nonDerivative,2026-09-01,S,Common Stock,400,293.5075,117403.0,395027.4109,D,BIDZOS D JAMES,"Director, Officer, Exec. Chairman, Pres, & CEO",1,1,0,"Exec. Chairman, Pres, & CEO",SEC EDGAR
VRSN|0001204816-26-000040|nonDerivative|2026-09-01|BIDZOS D JAMES|S|Common Stock|100|295.91|D,2026-09-05 04:17:35+0000,VRSN,VERISIGN INC/CA,0001014473,4,2026-09-02,2026-09-01,0001204816-26-000040,https://www.sec.gov/Archives/edgar/data/1014473/000120481626000040/wk-form4_1788385370.xml,nonDerivative,2026-09-01,S,Common Stock,100,295.91,29591.000000000004,394927.4109,D,BIDZOS D JAMES,"Director, Officer, Exec. Chairman, Pres, & CEO",1,1,0,"Exec. Chairman, Pres, & CEO",SEC EDGAR
VRSK|0001193125-26-380586|nonDerivative|2026-09-01|Shavel Lee|M|Common Stock|3535|104.00|D,2026-09-05 04:17:35+0000,VRSK,"Verisk Analytics, Inc.",0001442145,4,2026-09-02,2026-09-01,0001193125-26-380586,https://www.sec.gov/Archives/edgar/data/1442145/000119312526380586/ownership.xml,nonDerivative,2026-09-01,M,Common Stock,3535,104.00,367640.0,102025,D,Shavel Lee,Chief Executive Officer,true,true,false,Chief Executive Officer,SEC EDGAR
VRSK|0001193125-26-380586|nonDerivative|2026-09-01|Shavel Lee|S|Common Stock|3535|193.43|D,2026-09-05 04:17:35+0000,VRSK,"Verisk Analytics, Inc.",0001442145,4,2026-09-02,2026-09-01,0001193125-26-380586,https://www.sec.gov/Archives/edgar/data/1442145/000119312526380586/ownership.xml,nonDerivative,2026-09-01,S,Common Stock,3535,193.43,683775.05,98490,D,Shavel Lee,Chief Executive Officer,true,true,false,Chief Executive Officer,SEC EDGAR
VRSK|0001193125-26-380586|derivative|2026-09-01|Shavel Lee|M|Stock Option|3535|0|D,2026-09-05 04:17:35+0000,VRSK,"Verisk Analytics, Inc.",0001442145,4,2026-09-02,2026-09-01,0001193125-26-380586,https://www.sec.gov/Archives/edgar/data/1442145/000119312526380586/ownership.xml,derivative,2026-09-01,M,Stock Option,3535,0,0.0,10604,D,Shavel Lee,Chief Executive Officer,true,true,false,Chief Executive Officer,SEC EDGAR
V|0001403161-26-000117|nonDerivative|2026-09-01|MCINERNEY RYAN|M|Class A Common Stock|5875|134.76|D,2026-09-05 04:17:35+0000,V,VISA INC.,0001403161,4,2026-09-02,2026-09-01,0001403161-26-000117,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000117/form4.xml,nonDerivative,2026-09-01,M,Class A Common Stock,5875,134.76,791715.0,21049,D,MCINERNEY RYAN,"Director, Officer, Chief Executive Officer",1,1,,Chief Executive Officer,SEC EDGAR
V|0001403161-26-000117|nonDerivative|2026-09-01|MCINERNEY RYAN|S|Class A Common Stock|5875|379.65|D,2026-09-05 04:17:35+0000,V,VISA INC.,0001403161,4,2026-09-02,2026-09-01,0001403161-26-000117,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000117/form4.xml,nonDerivative,2026-09-01,S,Class A Common Stock,5875,379.65,2230443.75,15174,D,MCINERNEY RYAN,"Director, Officer, Chief Executive Officer",1,1,,Chief Executive Officer,SEC EDGAR
V|0001403161-26-000117|derivative|2026-09-01|MCINERNEY RYAN|M|Employee Stock Option (Right to Buy)|5875|0|D,2026-09-05 04:17:35+0000,V,VISA INC.,0001403161,4,2026-09-02,2026-09-01,0001403161-26-000117,https://www.sec.gov/Archives/edgar/data/1403161/000140316126000117/form4.xml,derivative,2026-09-01,M,Employee Stock Option (Right to Buy),5875,0,0.0,58749,D,MCINERNEY RYAN,"Director, Officer, Chief Executive Officer",1,1,,Chief Executive Officer,SEC EDGAR
ULTA|0000897069-26-001739|nonDerivative|2026-09-01|Olson Brieane Lee|A|Common Stock|271|0|D,2026-09-05 04:17:35+0000,ULTA,"Ulta Beauty, Inc.",0001403568,4,2026-09-02,2026-09-01,0000897069-26-001739,https://www.sec.gov/Archives/edgar/data/1403568/000089706926001739/form4.xml,nonDerivative,2026-09-01,A,Common Stock,271,0,0.0,271,D,Olson Brieane Lee,,true,false,false,,SEC EDGAR
TPL|0001437749-26-029484|nonDerivative|2026-09-01|HORIZON KINETICS ASSET MANAGEMENT LLC|P|Common Stock|1|369.10|D,2026-09-05 04:17:35+0000,TPL,Texas Pacific Land Corp,0001811074,4,2026-09-02,2026-09-01,0001437749-26-029484,https://www.sec.gov/Archives/edgar/data/1811074/000143774926029484/rdgdoc.xml,nonDerivative,2026-09-01,P,Common Stock,1,369.10,369.1,3242743,D,HORIZON KINETICS ASSET MANAGEMENT LLC,10% Owner,,,1,,SEC EDGAR
TER|0000904454-26-000478|nonDerivative|2026-09-01|JOHNSON MERCEDES|S|Common Stock|167|341.30|D,2026-09-05 04:17:35+0000,TER,"TERADYNE, INC",0000097210,4,2026-09-02,2026-09-01,0000904454-26-000478,https://www.sec.gov/Archives/edgar/data/97210/000090445426000478/edgar.xml,nonDerivative,2026-09-01,S,Common Stock,167,341.30,56997.1,6364,D,JOHNSON MERCEDES,Director,1,0,0,,SEC EDGAR
T|0000732717-26-000333|nonDerivative|2026-08-31|Sabrina Sanders S|A|Common Stock|126.535|25.89|I,2026-09-05 04:17:35+0000,T,AT&T INC.,0000732717,4,2026-09-02,2026-08-31,0000732717-26-000333,https://www.sec.gov/Archives/edgar/data/732717/000073271726000333/form4.xml,nonDerivative,2026-08-31,A,Common Stock,126.535,25.89,3275.99115,2548.253,I,Sabrina Sanders S,"Officer, SVP-ChiefActngOfcr&Controller",,1,,SVP-ChiefActngOfcr&Controller,SEC EDGAR
T|0000732717-26-000332|nonDerivative|2026-08-31|McElfresh Jeffery S.|A|Common Stock|482.812|25.89|I,2026-09-05 04:17:35+0000,T,AT&T INC.,0000732717,4,2026-09-02,2026-08-31,0000732717-26-000332,https://www.sec.gov/Archives/edgar/data/732717/000073271726000332/form4.xml,nonDerivative,2026-08-31,A,Common Stock,482.812,25.89,12500.002680000001,183510.559,I,McElfresh Jeffery S.,"Officer, Chief Operating Officer",,1,,Chief Operating Officer,SEC EDGAR
T|0000732717-26-000331|nonDerivative|2026-08-31|Lee Lori M|A|Common Stock|347.625|25.89|I,2026-09-05 04:17:35+0000,T,AT&T INC.,0000732717,4,2026-09-02,2026-08-31,0000732717-26-000331,https://www.sec.gov/Archives/edgar/data/732717/000073271726000331/form4.xml,nonDerivative,2026-08-31,A,Common Stock,347.625,25.89,9000.01125,10274.594,I,Lee Lori M,"Officer, Global Mktg Ofr & SEVP Intl",,1,,Global Mktg Ofr & SEVP Intl,SEC EDGAR
T|0000732717-26-000330|nonDerivative|2026-08-31|Desroches Pascal|A|Common Stock|1730.076|25.89|I,2026-09-05 04:17:35+0000,T,AT&T INC.,0000732717,4,2026-09-02,2026-08-31,0000732717-26-000330,https://www.sec.gov/Archives/edgar/data/732717/000073271726000330/form4.xml,nonDerivative,2026-08-31,A,Common Stock,1730.076,25.89,44791.66764,135999.648,I,Desroches Pascal,"Officer, Sr. Exec VP and CFO",,1,,Sr. Exec VP and CFO,SEC EDGAR
SYK|0001195918-26-000002|nonDerivative|2019-06-26|BRAINERD MARY K|P|Common Stock|63|202.205|I,2026-09-05 04:17:35+0000,SYK,STRYKER CORP,0000310764,4,2026-09-02,2019-06-26,0001195918-26-000002,https://www.sec.gov/Archives/edgar/data/310764/000119591826000002/wk-form4_1788379683.xml,nonDerivative,2019-06-26,P,Common Stock,63,202.205,12738.915,63,I,BRAINERD MARY K,Director,1,0,0,,SEC EDGAR
SYK|0001195918-26-000002|nonDerivative|2019-09-12|BRAINERD MARY K|P|Common Stock|11|221.03|I,2026-09-05 04:17:35+0000,SYK,STRYKER CORP,0000310764,4,2026-09-02,2019-06-26,0001195918-26-000002,https://www.sec.gov/Archives/edgar/data/310764/000119591826000002/wk-form4_1788379683.xml,nonDerivative,2019-09-12,P,Common Stock,11,221.03,2431.33,0,I,BRAINERD MARY K,Director,1,0,0,,SEC EDGAR
SYK|0001195918-26-000002|nonDerivative|2020-05-12|BRAINERD MARY K|P|Common Stock|36|193.21|I,2026-09-05 04:17:35+0000,SYK,STRYKER CORP,0000310764,4,2026-09-02,2019-06-26,0001195918-26-000002,https://www.sec.gov/Archives/edgar/data/310764/000119591826000002/wk-form4_1788379683.xml,nonDerivative,2020-05-12,P,Common Stock,36,193.21,6955.56,99,I,BRAINERD MARY K,Director,1,0,0,,SEC EDGAR
SYK|0001195918-26-000002|nonDerivative|2020-06-12|BRAINERD MARY K|P|Common Stock|3|185.65|I,2026-09-05 04:17:35+0000,SYK,STRYKER CORP,0000310764,4,2026-09-02,2019-06-26,0001195918-26-000002,https://www.sec.gov/Archives/edgar/data/310764/000119591826000002/wk-form4_1788379683.xml,nonDerivative,2020-06-12,P,Common Stock,3,185.65,556.95,102,I,BRAINERD MARY K,Director,1,0,0,,SEC EDGAR
SYK|0001195918-26-000002|nonDerivative|2022-11-22|BRAINERD MARY K|P|Common Stock|18|225.195|I,2026-09-05 04:17:35+0000,SYK,STRYKER CORP,0000310764,4,2026-09-02,2019-06-26,0001195918-26-000002,https://www.sec.gov/Archives/edgar/data/310764/000119591826000002/wk-form4_1788379683.xml,nonDerivative,2022-11-22,P,Common Stock,18,225.195,4053.5099999999998,131,I,BRAINERD MARY K,Director,1,0,0,,SEC EDGAR
STT|0000093751-26-000575|nonDerivative|2026-08-31|Read Craig Jack|A|Common Stock|9408|0|D,2026-09-05 04:17:35+0000,STT,STATE STREET CORP,0000093751,4,2026-09-02,2026-08-31,0000093751-26-000575,https://www.sec.gov/Archives/edgar/data/93751/000009375126000575/wk-form4_1788379182.xml,nonDerivative,2026-08-31,A,Common Stock,9408,0,0.0,9408,D,Read Craig Jack,"Officer, EVP, Global Controller and CAO",0,1,0,"EVP, Global Controller and CAO",SEC EDGAR
SNPS|0001711671-26-000022|nonDerivative|2026-09-01|LEE JANET|M|Common Stock|699|0.0|D,2026-09-05 04:17:35+0000,SNPS,SYNOPSYS INC,0000883241,4,2026-09-02,2026-09-01,0001711671-26-000022,https://www.sec.gov/Archives/edgar/data/883241/000171167126000022/edgardoc.xml,nonDerivative,2026-09-01,M,Common Stock,699,0.0,0.0,16692,D,LEE JANET,"Officer, GC & Corporate Secretary",0,1,0,GC & Corporate Secretary,SEC EDGAR
SNPS|0001711671-26-000022|nonDerivative|2026-09-01|LEE JANET|F|Common Stock|304|414.82|D,2026-09-05 04:17:35+0000,SNPS,SYNOPSYS INC,0000883241,4,2026-09-02,2026-09-01,0001711671-26-000022,https://www.sec.gov/Archives/edgar/data/883241/000171167126000022/edgardoc.xml,nonDerivative,2026-09-01,F,Common Stock,304,414.82,126105.28,16388,D,LEE JANET,"Officer, GC & Corporate Secretary",0,1,0,GC & Corporate Secretary,SEC EDGAR
SNPS|0001711671-26-000022|derivative|2026-09-01|LEE JANET|M|Restricted Stock Units|699|0.0|D,2026-09-05 04:17:35+0000,SNPS,SYNOPSYS INC,0000883241,4,2026-09-02,2026-09-01,0001711671-26-000022,https://www.sec.gov/Archives/edgar/data/883241/000171167126000022/edgardoc.xml,derivative,2026-09-01,M,Restricted Stock Units,699,0.0,0.0,1398,D,LEE JANET,"Officer, GC & Corporate Secretary",0,1,0,GC & Corporate Secretary,SEC EDGAR
SNPS|0001652437-26-000008|nonDerivative|2026-08-31|Kankanwadi Sudhindra|J|Common Stock|27|360.961|D,2026-09-05 04:17:35+0000,SNPS,SYNOPSYS INC,0000883241,4,2026-09-02,2026-08-31,0001652437-26-000008,https://www.sec.gov/Archives/edgar/data/883241/000165243726000008/edgardoc.xml,nonDerivative,2026-08-31,J,Common Stock,27,360.961,9745.947,22717,D,Kankanwadi Sudhindra,"Officer, Deputy CFO & CAO",0,1,0,Deputy CFO & CAO,SEC EDGAR
SNPS|0001822289-26-000008|nonDerivative|2026-08-31|Ghazi Sassine|J|Common Stock|27|360.961|D,2026-09-05 04:17:35+0000,SNPS,SYNOPSYS INC,0000883241,4,2026-09-02,2026-08-31,0001822289-26-000008,https://www.sec.gov/Archives/edgar/data/883241/000182228926000008/edgardoc.xml,nonDerivative,2026-08-31,J,Common Stock,27,360.961,9745.947,76865,D,Ghazi Sassine,"Director, Officer, PRESIDENT AND CEO",1,1,0,PRESIDENT AND CEO,SEC EDGAR
SNPS|0001615442-26-000005|nonDerivative|2026-08-31|Ellow Michael|J|Common Stock|27|360.961|D,2026-09-05 04:17:35+0000,SNPS,SYNOPSYS INC,0000883241,4,2026-09-02,2026-08-31,0001615442-26-000005,https://www.sec.gov/Archives/edgar/data/883241/000161544226000005/edgardoc.xml,nonDerivative,2026-08-31,J,Common Stock,27,360.961,9745.947,2612,D,Ellow Michael,"Officer, Chief Revenue Officer",0,1,0,Chief Revenue Officer,SEC EDGAR
SNPS|0001249802-26-000010|nonDerivative|2026-08-31|DE GEUS AART|M|Common Stock|25000|135.88|D,2026-09-05 04:17:35+0000,SNPS,SYNOPSYS INC,0000883241,4,2026-09-02,2026-08-31,0001249802-26-000010,https://www.sec.gov/Archives/edgar/data/883241/000124980226000010/edgardoc.xml,nonDerivative,2026-08-31,M,Common Stock,25000,135.88,3397000.0,145421,D,DE GEUS AART,"Director, Officer, EXECUTIVE CHAIR",1,1,0,EXECUTIVE CHAIR,SEC EDGAR
SNPS|0001249802-26-000010|nonDerivative|2026-08-31|DE GEUS AART|S|Common Stock|25000|441.7646|D,2026-09-05 04:17:35+0000,SNPS,SYNOPSYS INC,0000883241,4,2026-09-02,2026-08-31,0001249802-26-000010,https://www.sec.gov/Archives/edgar/data/883241/000124980226000010/edgardoc.xml,nonDerivative,2026-08-31,S,Common Stock,25000,441.7646,11044115.0,120421,D,DE GEUS AART,"Director, Officer, EXECUTIVE CHAIR",1,1,0,EXECUTIVE CHAIR,SEC EDGAR
SNPS|0001249802-26-000010|nonDerivative|2026-08-31|DE GEUS AART|J|Common Stock|22|360.961|D,2026-09-05 04:17:35+0000,SNPS,SYNOPSYS INC,0000883241,4,2026-09-02,2026-08-31,0001249802-26-000010,https://www.sec.gov/Archives/edgar/data/883241/000124980226000010/edgardoc.xml,nonDerivative,2026-08-31,J,Common Stock,22,360.961,7941.142,120443,D,DE GEUS AART,"Director, Officer, EXECUTIVE CHAIR",1,1,0,EXECUTIVE CHAIR,SEC EDGAR
SNPS|0001249802-26-000010|nonDerivative|2026-09-01|DE GEUS AART|M|Common Stock|24641|135.88|D,2026-09-05 04:17:35+0000,SNPS,SYNOPSYS INC,0000883241,4,2026-09-02,2026-08-31,0001249802-26-000010,https://www.sec.gov/Archives/edgar/data/883241/000124980226000010/edgardoc.xml,nonDerivative,2026-09-01,M,Common Stock,24641,135.88,3348219.08,145084,D,DE GEUS AART,"Director, Officer, EXECUTIVE CHAIR",1,1,0,EXECUTIVE CHAIR,SEC EDGAR
SNPS|0001249802-26-000010|nonDerivative|2026-09-01|DE GEUS AART|S|Common Stock|24641|419.4401|D,2026-09-05 04:17:35+0000,SNPS,SYNOPSYS INC,0000883241,4,2026-09-02,2026-08-31,0001249802-26-000010,https://www.sec.gov/Archives/edgar/data/883241/000124980226000010/edgardoc.xml,nonDerivative,2026-09-01,S,Common Stock,24641,419.4401,10335423.504099999,120443,D,DE GEUS AART,"Director, Officer, EXECUTIVE CHAIR",1,1,0,EXECUTIVE CHAIR,SEC EDGAR
SNPS|0001249802-26-000010|derivative|2026-08-31|DE GEUS AART|M|Non-Qualified Stock Option (right to buy)|25000|0.0|D,2026-09-05 04:17:35+0000,SNPS,SYNOPSYS INC,0000883241,4,2026-09-02,2026-08-31,0001249802-26-000010,https://www.sec.gov/Archives/edgar/data/883241/000124980226000010/edgardoc.xml,derivative,2026-08-31,M,Non-Qualified Stock Option (right to buy),25000,0.0,0.0,24641,D,DE GEUS AART,"Director, Officer, EXECUTIVE CHAIR",1,1,0,EXECUTIVE CHAIR,SEC EDGAR
SNPS|0001249802-26-000010|derivative|2026-09-01|DE GEUS AART|M|Non-Qualified Stock Option (right to buy)|24641|0.0|D,2026-09-05 04:17:35+0000,SNPS,SYNOPSYS INC,0000883241,4,2026-09-02,2026-08-31,0001249802-26-000010,https://www.sec.gov/Archives/edgar/data/883241/000124980226000010/edgardoc.xml,derivative,2026-09-01,M,Non-Qualified Stock Option (right to buy),24641,0.0,0.0,0,D,DE GEUS AART,"Director, Officer, EXECUTIVE CHAIR",1,1,0,EXECUTIVE CHAIR,SEC EDGAR
SNDK|0001363249-26-000074|nonDerivative|2026-09-01|Shek Bernard|S|Common Stock|600|1525.6|D,2026-09-05 04:17:35+0000,SNDK,Sandisk Corp,0002023554,4,2026-09-02,2026-09-01,0001363249-26-000074,https://www.sec.gov/Archives/edgar/data/2023554/000136324926000074/edgardoc.xml,nonDerivative,2026-09-01,S,Common Stock,600,1525.6,915360.0,29884,D,Shek Bernard,"Officer, Chief Legal Officer & Secty",0,1,0,Chief Legal Officer & Secty,SEC EDGAR
SJM|0000091419-26-000086|nonDerivative|2026-08-31|SMUCKER MARK T|M|Common Shares|84821|108.90|D,2026-09-05 04:17:35+0000,SJM,J M SMUCKER Co,0000091419,4,2026-09-02,2026-08-31,0000091419-26-000086,https://www.sec.gov/Archives/edgar/data/91419/000009141926000086/wk-form4_1788381036.xml,nonDerivative,2026-08-31,M,Common Shares,84821,108.90,9237006.9,186207,D,SMUCKER MARK T,"Director, Officer, CEO, Chair of Board",1,1,0,"CEO, Chair of Board",SEC EDGAR
SJM|0000091419-26-000086|nonDerivative|2026-08-31|SMUCKER MARK T|S|Common Shares|84821|131.39|D,2026-09-05 04:17:35+0000,SJM,J M SMUCKER Co,0000091419,4,2026-09-02,2026-08-31,0000091419-26-000086,https://www.sec.gov/Archives/edgar/data/91419/000009141926000086/wk-form4_1788381036.xml,nonDerivative,2026-08-31,S,Common Shares,84821,131.39,11144631.19,101386,D,SMUCKER MARK T,"Director, Officer, CEO, Chair of Board",1,1,0,"CEO, Chair of Board",SEC EDGAR
SJM|0000091419-26-000086|derivative|2026-08-31|SMUCKER MARK T|M|Option Common Shares|84821|108.90|D,2026-09-05 04:17:35+0000,SJM,J M SMUCKER Co,0000091419,4,2026-09-02,2026-08-31,0000091419-26-000086,https://www.sec.gov/Archives/edgar/data/91419/000009141926000086/wk-form4_1788381036.xml,derivative,2026-08-31,M,Option Common Shares,84821,108.90,9237006.9,0,D,SMUCKER MARK T,"Director, Officer, CEO, Chair of Board",1,1,0,"CEO, Chair of Board",SEC EDGAR
SJM|0000091419-26-000090|nonDerivative|2026-09-01|Penrose Jill R|F|Common Shares|1461|131.42|D,2026-09-05 04:17:35+0000,SJM,J M SMUCKER Co,0000091419,4,2026-09-02,2026-09-01,0000091419-26-000090,https://www.sec.gov/Archives/edgar/data/91419/000009141926000090/wk-form4_1788381202.xml,nonDerivative,2026-09-01,F,Common Shares,1461,131.42,192004.62,14334,D,Penrose Jill R,"Officer, Chief People Officer",0,1,0,Chief People Officer,SEC EDGAR
SJM|0000091419-26-000088|nonDerivative|2026-09-01|Knudsen Jeannette L|F|Common Shares|1584|131.42|D,2026-09-05 04:17:35+0000,SJM,J M SMUCKER Co,0000091419,4,2026-09-02,2026-09-01,0000091419-26-000088,https://www.sec.gov/Archives/edgar/data/91419/000009141926000088/wk-form4_1788381145.xml,nonDerivative,2026-09-01,F,Common Shares,1584,131.42,208169.27999999997,15251,D,Knudsen Jeannette L,"Officer, Chief Legal Officer",0,1,0,Chief Legal Officer,SEC EDGAR
SJM|0000091419-26-000087|nonDerivative|2026-08-31|Ferguson Robert D|S|Common Shares|2522|132.41|D,2026-09-05 04:17:35+0000,SJM,J M SMUCKER Co,0000091419,4,2026-09-02,2026-08-31,0000091419-26-000087,https://www.sec.gov/Archives/edgar/data/91419/000009141926000087/wk-form4_1788381092.xml,nonDerivative,2026-08-31,S,Common Shares,2522,132.41,333938.02,36295,D,Ferguson Robert D,"Officer, Chief Product Supply Officer",0,1,0,Chief Product Supply Officer,SEC EDGAR
SJM|0000091419-26-000087|nonDerivative|2026-09-01|Ferguson Robert D|F|Common Shares|1121|131.42|D,2026-09-05 04:17:35+0000,SJM,J M SMUCKER Co,0000091419,4,2026-09-02,2026-08-31,0000091419-26-000087,https://www.sec.gov/Archives/edgar/data/91419/000009141926000087/wk-form4_1788381092.xml,nonDerivative,2026-09-01,F,Common Shares,1121,131.42,147321.81999999998,35174,D,Ferguson Robert D,"Officer, Chief Product Supply Officer",0,1,0,Chief Product Supply Officer,SEC EDGAR
SCHW|0001879974-26-000013|nonDerivative|2026-09-01|Hathi Neesha|M|Common Stock|3177|52.05|D,2026-09-05 04:17:35+0000,SCHW,SCHWAB CHARLES CORP,0000316709,4,2026-09-02,2026-09-01,0001879974-26-000013,https://www.sec.gov/Archives/edgar/data/316709/000187997426000013/wk-form4_1788397456.xml,nonDerivative,2026-09-01,M,Common Stock,3177,52.05,165362.84999999998,0,D,Hathi Neesha,"Officer, MD, Head Wealth Adv, Bnk, Tst",0,1,0,"MD, Head Wealth Adv, Bnk, Tst",SEC EDGAR
SCHW|0001879974-26-000013|nonDerivative|2026-09-01|Hathi Neesha|S|Common Stock|3177|109.0425|I,2026-09-05 04:17:35+0000,SCHW,SCHWAB CHARLES CORP,0000316709,4,2026-09-02,2026-09-01,0001879974-26-000013,https://www.sec.gov/Archives/edgar/data/316709/000187997426000013/wk-form4_1788397456.xml,nonDerivative,2026-09-01,S,Common Stock,3177,109.0425,346428.0225,5770,I,Hathi Neesha,"Officer, MD, Head Wealth Adv, Bnk, Tst",0,1,0,"MD, Head Wealth Adv, Bnk, Tst",SEC EDGAR
